,SR,TaSharks,MaxL,Depth,Chla_median,Chla_sd,SST_median,SST_sd,pop_50km,pop_500km,Dist_nearest_pop,Dist_nearest_market,HDI,Dcoast_km,DCoralT_km,DistSeamount_km,GDP,Dist_SMT1500,FishingEffort01,FishingEffort05
CH2128,6,3.57,130.95,91,0.124932498,0.035791227,28.376,0.615723411,0,0,825.6634641,1446.163477,0.697912839,29.13131062,4620.205518,45.21985993,3032.239478,45.21985993,0,0
CH2129,2,3.86,173,100,0.127800003,0.032048826,28.376,0.615723411,0,0,825.6468886,1446.150784,0.697912839,28.99330969,4620.047704,45.26326039,3032.239478,45.26326039,0,0
CH2130,4,3.44,122.76,89,0.127800003,0.032048826,28.3815,0.616779327,0,0,825.7369897,1446.245123,0.697912839,28.80761971,4619.880482,45.21742328,3032.239478,45.21742328,0,0
CH2131,5,3.6,171.59,85,0.127800003,0.032048826,28.387,0.616681518,0,0,825.8620138,1446.389473,0.697912839,28.04786492,4619.097049,45.26654342,3032.239478,45.26654342,0,0
CH2132,3,4.03,225,90,0.127800003,0.032048826,28.387,0.616681518,0,0,826.0040942,1446.533542,0.697912839,27.9269241,4619.022288,45.16075421,3032.239478,45.16075421,0,0
CH2133,1,3.98,70,106,0.127800003,0.032048826,28.3835,0.616569104,0,0,827.1052398,1447.640094,0.697912839,27.37624035,4618.853823,44.2568957,3032.239478,44.2568957,0,0
CH2134,4,3.76,200.64,103,0.127800003,0.032048826,28.3835,0.616569104,0,0,827.3452456,1447.881512,0.697912839,27.25033765,4618.807294,44.06250572,3032.239478,44.06250571,0,0
CH2135,7,3.83,232.75,110,0.127800003,0.032048826,28.3835,0.616569104,0,0,827.3745768,1447.906997,0.697912839,27.38878484,4618.967889,44.00225813,3032.239478,44.00225813,0,0
CH5001,1,3.4,50,775,0.097490497,0.021073426,28.704,1.013649958,0,0,823.7289141,1444.193931,0.697912839,31.039575,4621.502164,46.67364745,3032.239478,46.67364745,0,0
CH5003,2,3.5,136,850,0.097490497,0.021073426,28.704,1.013649958,0,0,823.6517605,1444.100921,0.697912839,31.62675813,4622.120049,46.65320786,3032.239478,46.65320786,0,0
CH5004,1,3.59,180,850,0.097490497,0.021073426,28.684,1.015446583,0,0,823.6413201,1444.077175,0.697912839,32.09823407,4622.636686,46.59578076,3032.239478,46.59578076,0,0
CH5005,3,3.5,108.5,875,0.097490497,0.021073426,28.684,1.015446583,0,0,823.610822,1444.032331,0.697912839,32.61029306,4623.188056,46.55781117,3032.239478,46.55781117,0,0
CH5006,2,3.77,204,425,0.100109003,0.02938329,28.71,1.006605317,0,0,827.1655949,1447.658484,0.697912839,28.9426762,4620.569493,43.8622967,3032.239478,43.8622967,0,0
CH5007,2,4.04,240,425,0.100109003,0.02938329,28.71,1.006605317,0,0,827.1047319,1447.593379,0.697912839,29.11848029,4620.736852,43.8847757,3032.239478,43.8847757,0,0
CH5008,2,3.81,210,450,0.100109003,0.02938329,28.71,1.006605317,0,0,827.023763,1447.506902,0.697912839,29.34665314,4620.953335,43.91684999,3032.239478,43.91684999,0,0
